address,city,region,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,housing_type,other_srq,land_area
Birkagatan 22C,Göteborgs kommun,Örgryte,9.0,3.0,2848.0,5100000.0,2022-05-05,23.0,82258.0,Lägenhet,,0
Övre Husargatan 31,Göteborgs kommun,Linné,90.6,4.0,5233.0,6750000.0,2022-05-05,8.0,74503.0,Lägenhet,,0
Gaterseredsvägen 50,Göteborgs kommun,Billdal,147.0,6.0,,7100000.0,2022-05-05,-3.0,48299.0,Villa,0.0,0
Lotta Svärdsgatan 3B,Göteborgs kommun,Gamlestaden,41.4,2.0,2966.0,1855000.0,2022-05-05,6.0,44807.0,Lägenhet,,0
Sofiagatan 50C,Göteborgs kommun,Strömmensberg,72.3,3.0,5192.0,4900000.0,2022-05-05,15.0,67773.0,Lägenhet,,0
Karlagatan 12A,Göteborgs kommun,Lunden,62.0,2.0,3794.0,3650000.0,2022-05-05,,58871.0,Lägenhet,,0
Hjorthagsgatan 10 D,Göteborgs kommun,Gamla Masthugget,40.6,2.0,2743.0,3060000.0,2022-05-05,23.0,75369.0,Lägenhet,,0
Haråsgatan 3,Göteborgs kommun,Majorna,54.0,2.0,3210.0,3775000.0,2022-05-05,20.0,69907.0,Lägenhet,,0
Fastlagsgatan 4,Göteborgs kommun,Kortedala,54.0,2.0,3980.0,1650000.0,2022-05-04,0.0,30556.0,Lägenhet,,0
Svarte Filips gata 45,Göteborgs kommun,Angered - Lövgärdet,120.0,4.0,5714.0,2800000.0,2022-05-04,8.0,23333.0,Radhus,0.0,0
Björcksgatan 64 B,Göteborgs kommun,Kålltorp,38.4,2.0,2377.0,2350000.0,2022-05-04,4.0,61198.0,Lägenhet,,0
Söndagsgatan 13,Göteborgs kommun,Kortedala,53.0,2.0,3620.0,1700000.0,2022-05-04,26.0,32075.0,Lägenhet,,0
Viktor Rydbergsgatan 46,Göteborgs kommun,Nedre Johanneberg,66.0,2.0,3775.0,5000000.0,2022-05-04,,75758.0,Lägenhet,,0
Sologången Lott 76,Göteborgs kommun,Torslanda - Säve,,,,900000.0,2022-05-04,0.0,,Fritidshus,0.0,0
De Geersgatan 16,Göteborgs kommun,Lunden,52.5,2.0,3502.0,3150000.0,2022-05-04,7.0,60000.0,Lägenhet,,0
Vaktmästaregången 13,Göteborgs kommun,Masthugget,73.0,3.0,4102.0,5000000.0,2022-05-04,35.0,68493.0,Lägenhet,,0
Björnekärrsgatan 6C,Göteborgs kommun,Gamlestaden,58.0,2.0,3372.0,2425000.0,2022-05-04,6.0,41810.0,Lägenhet,,0
Nilssonsberg 16,Göteborgs kommun,Linné,74.0,3.0,3573.0,5380000.0,2022-05-04,23.0,72703.0,Lägenhet,,0
Krossholmsvägen 65,Göteborgs kommun,Hjuvik,128.0,6.0,,8500000.0,2022-05-04,-7.0,66406.0,Villa,63.0,0
Famngatan 16 lägenhet 2274-1506,Göteborgs kommun,Högsbo,29.0,1.0,1598.0,1850000.0,2022-05-04,0.0,63793.0,Lägenhet,,0
Plåtmyntsgatan 27,Göteborgs kommun,Högsbo,54.0,2.0,4198.0,2097000.0,2022-05-04,5.0,38833.0,Lägenhet,,0
Växelmyntsgatan 3B,Göteborgs kommun,Högsbo,106.0,5.0,,5100000.0,2022-05-04,3.0,48113.0,Radhus,0.0,0
"Götaverksgatan 20, Vån 12 / 16",Göteborgs kommun,Lindholmen,34.5,1.0,2483.0,2700000.0,2022-05-04,10.0,78261.0,Lägenhet,,0
Kungsgatan 9B,Göteborgs kommun,Kungshöjd,100.0,3.0,3038.0,8425000.0,2022-05-04,17.0,84250.0,Lägenhet,,0
Haga Östergata 18,Göteborgs kommun,Haga,60.3,2.0,1992.0,4100000.0,2022-05-04,3.0,67993.0,Lägenhet,,0
Gröna gatan 49,Göteborgs kommun,Majorna,54.0,2.0,4050.0,2700000.0,2022-05-04,10.0,50000.0,Lägenhet,,0
Toredalsgatan 56,Göteborgs kommun,Lundby,100.0,4.0,,5100000.0,2022-05-04,-2.0,51000.0,Villa,70.0,0
Stampgatan 62,Göteborgs kommun,Stampen,60.3,2.0,3051.0,3460000.0,2022-05-04,9.0,57380.0,Lägenhet,,0
Musikvägen 32,Göteborgs kommun,Kaverös,70.0,3.0,4139.0,2195000.0,2022-05-04,0.0,31357.0,Lägenhet,,0
Norumsgärde 65,Göteborgs kommun,Tuve,108.0,4.0,,3500000.0,2022-05-04,-7.0,32407.0,Radhus,54.0,0
Svängrumsgatan 26,Göteborgs kommun,Flatås,42.5,1.5,1852.0,2200000.0,2022-05-04,,51765.0,Lägenhet,,0
Sånggången 130,Göteborgs kommun,Säve - Gunnesby Koloniområde,,,,800000.0,2022-05-04,-3.0,,Fritidshus,0.0,0
Egnahemsvägen 20D,Göteborgs kommun,Landala Egnahem,34.1,1.0,1590.0,2900000.0,2022-05-04,17.0,85044.0,Lägenhet,,0
Vallhamnsgatan 46,Göteborgs kommun,Näset Åkered,120.0,4.0,,5900000.0,2022-05-04,0.0,49167.0,Radhus,10.0,0
Bäckedalsvägen 19,Göteborgs kommun,Tuve,180.0,6.0,,7925000.0,2022-05-04,7.0,44028.0,Villa,130.0,0
Stabbegatan 36,Göteborgs kommun,Björkekärr,62.0,3.0,4376.0,3300000.0,2022-05-04,,53226.0,Lägenhet,,0
Olbersgatan 12D,Göteborgs kommun,Kålltorp,61.3,2.0,3852.0,3827500.0,2022-05-04,10.0,62439.0,Lägenhet,,0
Sveagatan 24,Göteborgs kommun,Linnéstaden,80.0,3.0,4800.0,6600000.0,2022-05-04,14.0,82500.0,Lägenhet,,0
Fridhemsgatan 29B,Göteborgs kommun,Sandarna,47.0,2.0,3750.0,2830000.0,2022-05-04,11.0,60213.0,Lägenhet,,0
Orkestergatan 1,Göteborgs kommun,Kaverös,45.0,1.5,1505.0,2200000.0,2022-05-04,10.0,48889.0,Lägenhet,,0
Gräsmånadsgatan 45,Göteborgs kommun,Kortedala,116.0,4.0,7306.0,2575000.0,2022-05-04,0.0,22198.0,Radhus,0.0,0
