address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Trollrunan 80,Radhus,Torslanda,Göteborgs kommun,121.0,5.0,,5400000,2022-09-02,,44628.0,222.0,0.0,57.7272663,11.7583993
Sandbanksvägen 72,Radhus,Skogome,Göteborgs kommun,104.0,4.0,,3940000,2022-09-02,-1.0,37885.0,145.0,0.0,57.762913,11.9482809
Fricksgatan 2C,Lägenhet,Norra Guldheden,Göteborgs kommun,51.5,2.0,3520.0,2920000,2022-09-02,1.0,56699.0,0.0,0.0,57.6873276,11.9646692
Hjortgatan 7,Villa,Långedrag,Göteborgs kommun,172.0,7.0,,10000000,2022-09-02,-5.0,58140.0,657.0,16.0,57.677011,11.885487208628284
Gibraltargatan 21C,Lägenhet,Johanneberg,Göteborgs kommun,25.0,1.0,1411.0,2200000,2022-09-02,-2.0,88000.0,0.0,0.0,57.6863037,11.9829733
Vidblicksgatan 8,Lägenhet,Nedre Johanneberg,Göteborgs kommun,58.0,2.0,3831.0,3450000,2022-09-02,-4.0,59483.0,0.0,0.0,57.69221425,11.979164788107274
Rositas Gata 1,Lägenhet,Eriksbergsplatån,Göteborgs kommun,68.0,3.0,1826.0,4000000,2022-09-02,-9.0,58824.0,0.0,0.0,57.6988882,11.9031274
Fiolgatan 4,Lägenhet,Ruddalen,Göteborgs kommun,69.3,3.0,5047.0,2070000,2022-09-02,-4.0,29870.0,0.0,0.0,57.6609081,11.913439
Lerskäddegatan 20,Radhus,Hinsholmen,Göteborgs kommun,86.0,4.0,,5100000,2022-09-02,-7.0,59302.0,95.6,0.0,57.6600764,11.8635097
Bufjällsleden 2D,Lägenhet,Tolered,Göteborgs kommun,64.0,3.0,4951.0,2300000,2022-09-02,1.0,35938.0,0.0,0.0,57.732322,11.9252516
Erik Dahlbergsgatan 26A,Lägenhet,Vasastaden,Göteborgs kommun,65.0,2.0,3453.0,4800000,2022-09-02,-2.0,73846.0,0.0,0.0,57.6953732,11.9706476
Storhöjdsgatan 15,Lägenhet,Strömmensberg,Göteborgs kommun,37.0,2.0,3307.0,2340000,2022-09-02,0.0,63243.0,0.0,0.0,57.7198799,12.0156447
Eklandagatan 23C,Lägenhet,Johanneberg,Göteborgs kommun,38.3,1.5,2849.0,2775000,2022-09-02,-1.0,72454.0,0.0,0.0,57.6924383,11.9868197
Topasgatan 61,Lägenhet,Tynnered,Göteborgs kommun,70.0,3.0,3959.0,2050000,2022-09-02,5.0,29286.0,0.0,0.0,57.6492408,11.9074074
Styrfarten 2B,Lägenhet,Eriksberg,Göteborgs kommun,66.0,2.0,4045.0,3150000,2022-09-02,-2.0,47727.0,0.0,0.0,57.7002983,11.9115811
Frida Hjertbergs Gata 1,Lägenhet,Johanneberg,Göteborgs kommun,62.5,2.0,2413.0,4000000,2022-09-02,8.0,64000.0,0.0,0.0,57.6874807,11.9860839
Föreningsgatan 1A,Lägenhet,Vasastaden,Göteborgs kommun,43.0,1.0,2708.0,2750000,2022-09-02,-5.0,63953.0,0.0,0.0,57.6943192,11.961653357672768
Tullare Hög 5,Villa,Rödbo,Göteborgs kommun,60.0,3.0,,3900000,2022-09-02,13.0,65000.0,1572.9,2.0,57.8408929,11.958366
Ostgatan 20,Lägenhet,Kallebäck,Göteborgs kommun,85.5,4.0,5886.0,3110000,2022-09-02,4.0,36374.0,0.0,0.0,57.6836528,12.0095049
Sundshagsgatan 26,Villa,Kungsladugård,Göteborgs kommun,153.0,8.0,,13300000,2022-09-02,6.0,86928.0,591.0,90.0,57.68182465,11.93077997068638
Erik Dahlbergsgatan 23,Lägenhet,Vasastaden,Göteborgs kommun,63.0,3.0,2427.0,4350000,2022-09-02,0.0,69048.0,0.0,0.0,57.6953732,11.9706476
Vattentornsgatan 16,Radhus,Hammarkullen,Göteborgs kommun,121.0,4.0,,2840000,2022-09-02,-5.0,23471.0,294.7,0.0,57.78379495,12.04048409999999
Toredalsgatan 65,Villa,Centrala Hisingen,Göteborgs kommun,89.0,6.0,,5350000,2022-09-02,0.0,60112.0,407.0,79.0,57.7266741,11.91809664004298
Ånäsvägen 8C,Lägenhet,Bagaregården,Göteborgs kommun,71.5,3.0,4834.0,4400000,2022-09-02,3.0,61538.0,0.0,0.0,57.7158092,12.0040426
Fyrverkaregatan 5B,Lägenhet,Landala Egnahem,Göteborgs kommun,56.0,2.0,3466.0,3300000,2022-09-02,,58929.0,0.0,0.0,57.6886044,11.9716505
Labbgången 36,Radhus,Hagen,Göteborgs kommun,129.0,5.0,,6550000,2022-09-02,1.0,50775.0,142.0,0.0,57.6740135,11.8858112
Strömsundsvägen 23B,Tomt,Tumlehed,Göteborgs kommun,615.0,,,3850000,2022-09-02,-4.0,6260.0,0.0,0.0,57.7304415,11.7290781
Storhöjdsgatan 7B,Lägenhet,Strömmensberg,Göteborgs kommun,33.5,1.0,2137.0,1900000,2022-09-02,-5.0,56716.0,0.0,0.0,57.7198941,12.0170376
Hjalmar Brantingsgatan 19 B,Lägenhet,Hisingen,Göteborgs kommun,64.9,3.0,3926.0,2200000,2022-09-02,-4.0,33898.0,0.0,0.0,57.720352,11.9557188
Solrosgatan 18 A,Lägenhet,Kålltorp,Göteborgs kommun,57.0,2.0,2859.0,2850000,2022-09-01,0.0,50000.0,0.0,0.0,57.716807,12.0303042
Pontus Wiknersgatan 9,Lägenhet,Nedre Johanneberg,Göteborgs kommun,49.0,2.0,2983.0,3940000,2022-09-01,-1.0,80408.0,0.0,0.0,57.69278865,11.980757432758214
Mölndalsvägen 27,Lägenhet,Almedal,Göteborgs kommun,65.5,2.0,3123.0,2650000,2022-09-01,-4.0,40458.0,0.0,0.0,57.6834723,12.0006205
Gibraltargatan 38,Lägenhet,Johanneberg,Göteborgs kommun,80.0,3.0,4871.0,4200000,2022-09-01,-3.0,52500.0,0.0,0.0,57.6893558,11.9810027
Råstensgatan 15A,Lägenhet,Kålltorp,Göteborgs kommun,44.0,1.0,3046.0,2350000,2022-09-01,-4.0,53409.0,0.0,0.0,57.7115796,12.028457
Lantmilsgatan 28,Lägenhet,Kaverös,Göteborgs kommun,73.5,3.0,4675.0,2200000,2022-09-01,-4.0,29932.0,0.0,0.0,57.6651903,11.9259915
von Gerdesgatan 3,Lägenhet,Johanneberg,Göteborgs kommun,48.0,2.0,2324.0,3275000,2022-09-01,3.0,68229.0,0.0,0.0,57.6873764,11.9851074
Fruktträdsgatan 4,Lägenhet,Centrala Hisingen,Göteborgs kommun,74.0,3.0,4883.0,2995000,2022-09-01,0.0,40473.0,0.0,0.0,,
Wadmansgatan 10,Lägenhet,Lorensberg,Göteborgs kommun,106.0,3.0,3362.0,7250000,2022-09-01,4.0,68396.0,0.0,0.0,57.6996786,11.98227495268934
Palmstedtsgatan 3B,Lägenhet,Johanneberg,Göteborgs kommun,40.0,1.5,2882.0,2880000,2022-09-01,5.0,72000.0,0.0,0.0,57.6900101,11.9813256
Walter Bengtssons Gata 22,Lägenhet,Kungsladugård,Göteborgs kommun,54.0,2.0,2861.0,3150000,2022-09-01,0.0,58333.0,0.0,0.0,57.6861244,11.9096076
Gröna Vallen 8A,Lägenhet,Kungsladugård,Göteborgs kommun,119.0,5.0,5931.0,8100000,2022-09-01,5.0,68067.0,0.0,0.0,57.6877912,11.9195035
