address,housing_type,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude,post_code,region
Stampgatan 62,Lägenhet,Göteborgs kommun,60.3,2.0,3051.0,3460000.0,2022-05-04,9.0,57380.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 58c,Lägenhet,Göteborgs kommun,59.5,2.0,2760.0,3100000.0,2022-04-29,27.0,52101.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 64,Lägenhet,Göteborgs kommun,97.4,4.0,4405.0,5900000.0,2022-04-14,10.0,60575.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 60A,Lägenhet,Göteborgs kommun,96.0,4.0,4015.0,5280000.0,2022-04-07,18.0,55000.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 64,Lägenhet,Göteborgs kommun,70.3,3.0,3657.0,5000000.0,2022-04-04,12.0,71124.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 58B,Lägenhet,Göteborgs kommun,98.0,3.0,4114.0,6100000.0,2022-03-14,16.0,62245.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 56B,Lägenhet,Göteborgs kommun,81.7,3.0,3472.0,4200000.0,2022-03-09,9.0,51408.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 62,Lägenhet,Göteborgs kommun,83.6,4.0,3944.0,5450000.0,2022-03-01,16.0,65191.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 66,Lägenhet,Göteborgs kommun,63.0,2.0,2965.0,3350000.0,2022-02-09,0.0,53175.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Stampgatan 56A,Lägenhet,Göteborgs kommun,63.9,3.0,2869.0,3595000.0,2022-02-03,7.0,56260.0,0.0,,57.707719,11.9858396, 411 02,Stampen
Cederbourgsgatan 8,Lägenhet,Göteborgs kommun,60.0,2.0,2400.0,3600000.0,2022-09-15,-9.0,60000.0,0.0,0.0,57.6944975,11.9883922, 412 55,Krokslätt
Cederbourgsgatan 8,Lägenhet,Göteborgs kommun,62.0,2.5,2429.0,4300000.0,2022-07-07,11.0,69355.0,0.0,0.0,57.6944975,11.9883922, 412 55,Krokslätt
Hjalmar Brantingsgatan 23C,Lägenhet,Göteborgs kommun,71.0,3.0,3709.0,2560000.0,2022-09-14,-1.0,36056.0,0.0,0.0,57.720352,11.9557188, 417 08,Lindholmen
Hjalmar Brantingsgatan 21D,Lägenhet,Göteborgs kommun,69.0,3.5,3718.0,2690000.0,2022-09-06,0.0,38986.0,0.0,0.0,57.720352,11.9557188, 417 08,Lindholmen
