address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq
Kvillegatan 35,Lägenhet,Centrala Hisingen,Göteborgs kommun,40.0,1.5,2610.0,2180000.0,2022-11-04,4.0,54500.0,0.0,0.0
Turkosgatan 2,Lägenhet,Tynnered,Göteborgs kommun,84.5,4.0,5589.0,2400000.0,2022-11-04,-4.0,28402.0,0.0,0.0
Toredalsgatan 96,Radhus,Tolered,Göteborgs kommun,85.0,5.0,,4410000.0,2022-11-04,-2.0,51882.0,178.3,35.0
Doktor Hjorts Gata 2B,Lägenhet,Södra Guldheden,Göteborgs kommun,53.5,1.5,2587.0,2500000.0,2022-11-04,0.0,46729.0,0.0,0.0
Tunnlandsgatan 20,Lägenhet,Kaverös,Göteborgs kommun,59.5,2.0,2532.0,2210000.0,2022-11-04,3.0,37143.0,0.0,0.0
Virvelvindsgatan 20A,Lägenhet,Centrala Hisingen,Göteborgs kommun,34.0,1.0,2278.0,1200000.0,2022-11-04,-7.0,35294.0,0.0,0.0
Ebbe Lieberathsgatan 14B,Lägenhet,Johanneberg - Almedal,Göteborgs kommun,92.0,4.0,4364.0,4600000.0,2022-11-04,-6.0,50000.0,0.0,0.0
Gröna gatan 49,Lägenhet,Majorna,Göteborgs kommun,60.0,2.0,4461.0,2400000.0,2022-11-04,-1.0,40000.0,0.0,0.0
Beryllgatan 51,Lägenhet,Tynnered,Göteborgs kommun,82.9,3.0,5200.0,2700000.0,2022-11-04,,32569.0,0.0,0.0
Svindalsvägen 105,Villa,Askim,Göteborgs kommun,115.0,5.0,,5800000.0,2022-11-04,6.0,50435.0,1682.0,73.0
Lilla Ingebäcksvägen 16B,Lägenhet,Hisings Kärra,Göteborgs kommun,77.0,4.0,4810.0,2525000.0,2022-11-04,-3.0,32792.0,0.0,0.0
Sunnanvindsgatan 2C,Lägenhet,Centrala Hisingen,Göteborgs kommun,46.4,2.0,3251.0,1775000.0,2022-11-04,11.0,38254.0,0.0,0.0
Andra Långgatan 7 A,Lägenhet,Linnéstaden,Göteborgs kommun,114.0,3.5,6696.0,5450000.0,2022-11-04,-5.0,47807.0,0.0,0.0
